timestamp,quantity,price,fee,amount,side
2018-06-01 04:09:08,104.6816,13700,0,-1434138,0
2018-06-01 04:38:43,10.0,13660,0,136600,1
2018-06-01 04:38:43,2.561,13660,0,34983,1
2018-06-01 04:39:21,888.9002,13670,0,12151266,1
2018-06-01 04:39:21,8.03,13670,0,109770,1
2018-06-01 04:44:38,2.2686,13680,0,-31034,0
2018-06-01 04:44:44,51.0817,13690,0,-699308,0
2018-06-01 04:44:44,73.3023,13690,0,-1003508,0
2018-06-01 04:45:55,671.2678,13700,0,-9196369,0
2018-06-01 04:48:52,44.89386413,13690,0,614597,1
2018-06-01 05:02:40,1.5378,13650,0,20991,1
2018-06-01 05:02:41,1.8,13650,0,24570,1
2018-06-01 05:02:41,2.0,13650,0,27300,1
2018-06-01 05:02:41,2.6,13650,0,35490,1
2018-06-01 05:02:41,2.0,13650,0,27300,1
2018-06-01 05:02:41,5.6,13650,0,76440,1
2018-06-01 05:02:50,378.753,13640,0,5166191,1
2018-06-01 05:02:50,14.1238,13640,0,192649,1
2018-06-01 05:02:50,165.9331,13640,0,2263327,1
2018-06-01 05:03:15,366.1881,13650,0,-4998468,0
2018-06-01 05:06:48,202.5609,13670,0,2769008,1
2018-06-01 05:18:01,632.8148,13680,0,8656906,1
2018-06-01 06:17:51,20.9441,13700,0,-286934,0
2018-06-01 06:19:04,20.9441,13700,0,286934,1
2018-06-01 06:19:33,70.8927,13690,0,-970521,0
2018-06-01 06:20:17,70.8927,13710,0,971939,1
2018-06-01 06:48:11,57.45418978,13700,0,-787122,0
2018-06-01 06:51:59,57.4542,13710,0,787697,1
2018-06-01 06:56:32,1200.0,13680,0,-16416000,0
2018-06-01 07:07:41,54.886,13580,0,745352,1
2018-06-01 07:14:10,99.2174,13550,0,1344396,1
2018-06-01 07:14:10,699.4931,13550,0,9478132,1
2018-06-01 07:14:10,33.2563,13550,0,450623,1
2018-06-01 07:14:10,2.7187,13550,0,36838,1
2018-06-01 07:14:10,25.0,13550,0,338750,1
2018-06-01 07:14:11,1.96,13550,0,26558,1
2018-06-01 07:14:13,0.6,13550,0,8130,1
2018-06-01 07:14:31,86.2998,13560,0,-1170225,0
2018-06-01 07:14:31,193.1793,13560,0,-2619511,0
2018-06-01 07:14:31,119.0773,13560,0,-1614688,0
2018-06-01 07:14:32,43.1017,13560,0,-584459,0
2018-06-01 07:23:19,724.5266,13560,0,9824581,1
2018-06-01 07:24:58,844.7622,13570,0,-11463423,0
2018-06-01 07:35:57,775.4203,13540,0,10499191,1
2018-06-01 07:35:57,22.3207,13540,0,302222,1
2018-06-01 07:35:57,47.0212,13540,0,636667,1
2018-06-01 07:37:24,166.0669,13510,0,-2243564,0
2018-06-01 07:37:34,10.0,13530,0,-135300,0
2018-06-01 07:37:40,89.9864,13530,0,-1217516,0
2018-06-01 07:37:41,281.743,13530,0,-3811983,0
2018-06-01 07:37:46,222.1111,13530,0,-3005163,0
2018-06-01 07:39:26,231.5581,13540,0,3135297,1
2018-06-01 07:39:42,48.2826,13520,0,-652781,0
2018-06-01 07:41:46,272.1154,13520,0,-3679000,0
2018-06-01 07:52:59,151.7739,13560,0,2058054,1
2018-06-01 07:53:00,87.112,13560,0,1181239,1
2018-06-01 07:53:03,153.1,13560,0,2076036,1
2018-06-01 07:53:37,70.8654,13560,0,960935,1
2018-06-01 07:55:10,395.896,13550,0,5364391,1
2018-06-01 08:08:13,0.1,13600,0,-1360,0
2018-06-01 08:17:25,57.5839,13570,0,-781414,0
2018-06-01 08:17:29,97.164,13570,0,-1318515,0
2018-06-01 08:20:55,9.5,13570,0,128915,1
2018-06-01 08:26:07,145.3479,13540,0,1968011,1
2018-06-01 08:40:39,53.34,13520,0,-721157,0
2018-06-01 08:40:39,46.0,13520,0,-621920,0
2018-06-01 08:42:52,99.34,13520,0,1343077,1
2018-06-01 09:41:55,97.33,13540,0,-1317848,0
2018-06-01 09:47:53,97.33,13510,0,1314928,1
2018-06-01 10:00:37,110.0,13520,0,-1487200,0
2018-06-01 10:01:05,59.3785,13520,0,802797,1
2018-06-01 10:07:35,0.0001,13460,0,-1,0
2018-06-01 10:08:02,50.6216,13440,0,680354,1
2018-06-01 10:13:29,96.7384,13460,0,-1302099,0
2018-06-01 10:13:29,200.0,13460,0,-2692000,0
2018-06-01 10:13:29,10.0,13460,0,-134600,0
2018-06-01 10:13:33,35.9139,13460,0,-483401,0
2018-06-01 10:19:03,179.4596,13460,0,-2415526,0
2018-06-01 10:22:10,677.8881,13500,0,-9151489,0
2018-06-01 10:23:24,172.9823,13510,0,2336991,1
2018-06-01 10:29:59,379.28214201,13520,0,5127895,1
2018-06-01 10:30:27,269.1236,13510,0,3635860,1
2018-06-01 10:30:43,25.0429,13500,0,338079,1
2018-06-01 10:30:43,11.5889,13500,0,156450,1
2018-06-01 10:30:43,0.1,13500,0,1350,1
2018-06-01 10:30:44,10.0,13500,0,135000,1
2018-06-01 10:30:44,10.0,13500,0,135000,1
2018-06-01 10:30:44,99.4857,13500,0,1343057,1
2018-06-01 10:35:14,222.3945,13480,0,2997878,1
2018-06-01 10:36:37,1.8598,13490,0,-25089,0
2018-06-01 10:36:55,1.8598,13480,0,25070,1
2018-06-01 10:38:17,1200.0,13450,0,-16140000,0
2018-06-01 10:44:20,1200.0,13440,0,16128000,1
2018-06-01 10:49:32,8.3164,13460,0,-111939,0
2018-06-01 10:49:32,49.645,13460,0,-668222,0
2018-06-01 10:49:32,252.0,13460,0,-3391920,0
2018-06-01 10:49:32,93.159,13460,0,-1253920,0
2018-06-01 10:49:32,157.9178,13460,0,-2125574,0
2018-06-01 10:49:32,344.3824,13460,0,-4635387,0
2018-06-01 10:51:15,794.8291,13430,0,10674555,1
2018-06-01 10:51:52,23.64889277,13400,0,316895,1
2018-06-01 10:51:52,86.94260722,13400,0,1165031,1
2018-06-01 10:52:47,128.9762,13430,0,-1732150,0
2018-06-01 10:52:47,1071.0238,13430,0,-14383850,0
2018-06-01 10:57:33,1.0,13420,0,13420,1
2018-06-01 10:57:33,0.7451,13420,0,9999,1
2018-06-01 11:02:18,37.7063,13440,0,506773,1
2018-06-01 11:02:19,1160.5486,13440,0,15597773,1
2018-06-01 11:29:07,50.0,13480,0,-674000,0
2018-06-01 11:29:36,9.436e-05,13480,0,-1,0
2018-06-01 11:32:16,31.8695,13490,0,-429920,0
2018-06-01 11:32:17,4.8088,13490,0,-64871,0
2018-06-01 11:32:49,1113.3216,13450,0,-14974176,0
2018-06-01 11:49:47,40.7774,13480,0,549679,1
2018-06-01 11:59:42,47.2997,13490,0,638073,1
2018-06-01 12:12:26,1111.9229,13480,0,14988721,1
2018-06-01 13:04:27,243.6753,13360,0,-3255502,0
2018-06-01 13:06:43,956.3247,13400,0,-12814751,0
2018-06-01 13:12:38,1200.0,13400,0,16080000,1
2018-06-01 13:14:52,88.9135,13430,0,-1194108,0
2018-06-01 13:14:56,1111.0864,13430,0,-14921890,0
2018-06-01 13:24:38,0.01,13420,0,134,1
2018-06-01 13:24:38,148.4185,13420,0,1991776,1
2018-06-01 13:24:53,37.3134,13400,0,500000,1
2018-06-01 13:24:53,42.8792,13400,0,574581,1
2018-06-01 13:24:53,88.348,13400,0,1183863,1
2018-06-01 13:24:53,6.2,13400,0,83080,1
2018-06-01 13:24:58,505.7653,13390,0,6772197,1
2018-06-01 13:24:58,371.0655,13390,0,4968567,1
2018-06-01 13:25:30,68.6968,13400,0,-920537,0
2018-06-01 13:30:00,2.0,13380,0,-26760,0
2018-06-01 13:31:24,43.1827,13390,0,-578216,0
2018-06-01 13:31:24,321.13,13390,0,-4299931,0
2018-06-01 13:31:29,0.0001,13400,0,-1,0
2018-06-01 13:31:29,275.2,13400,0,-3687680,0
2018-06-01 13:31:29,74.9999,13400,0,-1004999,0
2018-06-01 13:37:55,785.2095,13380,0,10506103,1
2018-06-01 13:59:04,1.34208424,13330,0,-17890,0
2018-06-01 14:02:58,1.3421,13350,0,17917,1
2018-06-01 14:48:36,219.4398,13190,0,-2894411,0
2018-06-01 14:48:36,47.1123,13190,0,-621411,0
2018-06-01 14:48:44,408.6197,13200,0,-5393780,0
2018-06-01 14:48:44,240.0,13200,0,-3168000,0
2018-06-01 14:48:44,16.3777,13200,0,-216186,0
2018-06-01 14:48:45,268.4505,13200,0,-3543547,0
2018-06-01 14:55:04,7.8965,13260,0,104708,1
2018-06-01 15:21:19,197.6152,13370,0,2642115,1
2018-06-01 15:24:43,731.6388,13410,0,9811276,1
2018-06-01 15:24:44,2.0,13410,0,26820,1
2018-06-01 15:25:06,237.4951,13410,0,3184809,1
2018-06-01 15:25:07,23.3544,13410,0,313183,1
2018-06-01 16:00:52,1200.0,13450,0,-16140000,0
2018-06-01 16:01:28,336.85,13450,0,4530633,1
2018-06-01 16:01:28,106.076,13450,0,1426722,1
2018-06-01 16:01:37,646.2018,13440,0,8684952,1
2018-06-01 16:01:38,29.293,13440,0,393698,1
2018-06-01 16:03:24,81.5792,13460,0,1098056,1
2018-06-01 16:05:22,1200.0,13500,0,-16200000,0
2018-06-01 16:07:39,11.9303,13520,0,161298,1
2018-06-01 16:07:39,8.9906,13520,0,121553,1
2018-06-01 16:08:47,1179.0791,13520,0,15941149,1
2018-06-01 16:11:27,1200.0,13540,0,-16248000,0
2018-06-01 16:12:57,859.474,13550,0,11645873,1
2018-06-01 16:12:57,28.6853,13550,0,388686,1
2018-06-01 16:13:01,6.644,13540,0,89960,1
2018-06-01 16:13:01,37.3892,13540,0,506250,1
2018-06-01 16:13:01,70.0628,13540,0,948650,1
2018-06-01 16:13:01,197.7447,13540,0,2677463,1
2018-06-01 16:14:57,46.235,13490,0,-623710,0
2018-06-01 16:15:05,46.235,13500,0,624173,1
2018-06-01 16:49:51,25.8296,13480,0,-348183,0
2018-06-01 16:49:51,15.8392,13480,0,-213512,0
2018-06-01 16:50:27,41.6688,13470,0,561279,1
2018-06-01 17:03:16,23.0852,13440,0,-310265,0
2018-06-01 17:03:17,8.9366,13440,0,-120108,0
2018-06-01 17:04:40,32.0218,13410,0,429412,1
2018-06-01 17:05:53,7.069e-05,13410,0,-1,0
2018-06-01 17:59:35,1200.0,13510,0,-16212000,0
2018-06-01 18:01:06,348.5667,13470,0,4695193,1
2018-06-01 18:01:06,7.4753,13470,0,100692,1
2018-06-01 18:01:14,280.0,13460,0,3768800,1
2018-06-01 18:01:14,22.5113,13460,0,303002,1
2018-06-01 18:01:14,13.2548,13460,0,178410,1
2018-06-01 18:01:25,117.4552,13470,0,1582122,1
2018-06-01 18:01:25,410.7367,13470,0,5532623,1
2018-06-01 18:28:22,979.0943,13400,0,-13119864,0
2018-06-01 18:42:43,120.0206,13390,0,1607076,1
2018-06-01 18:43:08,61.8146,13380,0,827079,1
2018-06-01 18:43:08,15.8938,13380,0,212659,1
2018-06-01 18:43:08,500.0,13380,0,6690000,1
2018-06-01 19:00:01,11.0,13360,0,146960,1
2018-06-01 19:00:01,78.5527,13360,0,1049464,1
2018-06-01 19:00:01,38.1935,13360,0,510265,1
2018-06-01 19:00:01,2.0,13360,0,26720,1
2018-06-01 19:00:02,30.7607,13360,0,410963,1
2018-06-01 19:00:02,62.7,13360,0,837672,1
2018-06-01 19:00:02,7.2602,13360,0,96996,1
2018-06-01 19:00:02,50.8982,13360,0,680000,1
2018-06-01 19:01:23,36.5798,13330,0,-487609,0
2018-06-01 19:01:29,252.0,13340,0,-3361680,0
2018-06-01 19:01:34,71.404,13350,0,-953243,0
2018-06-01 19:05:32,8.6225,13350,0,115110,1
2018-06-01 19:27:16,201.93008116,13380,0,2701824,1
2018-06-01 19:28:22,86.11827977,13350,0,1149679,1
2018-06-01 19:28:22,1.0,13350,0,13350,1
